,Source,Date,Text,Compound,Positive,Neutral,Negative
0,BBCWorld,Mon Jan 15 07:30:20 +0000 2018,"RT @BBCSport: 2017 runner-up Venus Williams is out in the first round at the #AusOpen.

What a moment for Belinda Bencic. ?

? https://t.co…",0.0,0.0,1.0,0.0
1,BBCWorld,Mon Jan 15 06:24:58 +0000 2018,"RT @BBCBreaking: Internal ceiling collapses at Jakarta stock exchange building, with some reports of injuries https://t.co/yqFghL3nbA",-0.296,0.0,0.872,0.128
2,BBCWorld,Mon Jan 15 06:24:54 +0000 2018,RT @BBCBreaking: Images from central Jakarta after reported ceiling collapse in lobby of Indonesian stock exchange: https://t.co/47bbW9fFKU…,-0.4767,0.057,0.777,0.166
3,BBCWorld,Mon Jan 15 06:21:50 +0000 2018,Baghdad suicide double suicide attack kills many https://t.co/xxtWEg9DYw,-0.9485,0.0,0.204,0.796
4,BBCWorld,Mon Jan 15 06:18:49 +0000 2018,Jakarta stock exchange ceiling collapses https://t.co/JFv7P295uF,-0.296,0.0,0.694,0.306
5,BBCWorld,Mon Jan 15 04:45:24 +0000 2018,Aziz Ansari responds to assault allegation https://t.co/xNx3hPMii5,-0.5859,0.0,0.612,0.388
6,BBCWorld,Mon Jan 15 03:53:27 +0000 2018,RT @BBCIndia: Moshe Holtzberg: The Israeli boy who survived 2008 Mumbai attack https://t.co/6Vsu0jlWjt,0.0516,0.19,0.632,0.178
7,BBCWorld,Mon Jan 15 03:51:45 +0000 2018,RT @SallyBundockBBC: Apparently it’s #bluemonday2018 - “the most depressing day of the year”. I brought in cup cakes and banana bread for t…,-0.4391,0.0,0.874,0.126
8,BBCWorld,Mon Jan 15 02:54:22 +0000 2018,RT @BBCNewsAsia: North and South Korea begin talks on Pyongyang's plan to send art troupe to Winter Olympics: https://t.co/vYpyhcw1Q4,0.0,0.0,1.0,0.0
9,BBCWorld,Mon Jan 15 02:42:25 +0000 2018,North and South Korea discuss sending art troupe to Winter Olympics https://t.co/PRWrX5OPSx,0.0,0.0,1.0,0.0
10,BBCWorld,Mon Jan 15 02:22:36 +0000 2018,RT @BBCNewsAsia: The Japanese porn star who taught an entire Chinese generation about sex: https://t.co/wqvRtzka77,0.0,0.0,1.0,0.0
11,BBCWorld,Mon Jan 15 02:11:17 +0000 2018,RT @BBCNewsAsia: The alcohol ban on Sri Lankan women has been reinstated by its president: https://t.co/2CQoPadaQ7,-0.5574,0.0,0.806,0.194
12,BBCWorld,Mon Jan 15 01:56:42 +0000 2018,"RT @BBCNewsAsia: Oil tanker burning in East China Sea finally sinks. All 32 crew members confirmed dead, officials say: https://t.co/H3PWVJ…",-0.6486,0.0,0.815,0.185
13,BBCWorld,Mon Jan 15 01:52:15 +0000 2018,Ashley Judd: I was not frightened of Harvey Weinstein https://t.co/ndRNFCMJ6a,0.3412,0.231,0.769,0.0
14,BBCWorld,Mon Jan 15 01:46:24 +0000 2018,"Skies in Perth, Australia, turn dramatic orange after a bushfire: https://t.co/CjngV0xopn",0.0,0.0,1.0,0.0
15,BBCWorld,Mon Jan 15 01:42:25 +0000 2018,Donald Trump denies being a racist after 'shithole' row https://t.co/5DCN55NjoA,-0.7783,0.0,0.507,0.493
16,BBCWorld,Mon Jan 15 01:35:38 +0000 2018,Perth bushfire paints skies 'vivid orange' https://t.co/WpaopR0e2f,0.0,0.0,1.0,0.0
17,BBCWorld,Mon Jan 15 01:32:28 +0000 2018,Chile complains of World Bank unfair treatment https://t.co/jj083Qa8a9,-0.6908,0.0,0.513,0.487
18,BBCWorld,Mon Jan 15 00:57:08 +0000 2018,The missing - consequences of Trump's immigration crackdown https://t.co/ToQ0bSwlpW,-0.296,0.0,0.761,0.239
19,BBCWorld,Mon Jan 15 00:50:32 +0000 2018,Looking for my brother https://t.co/tOCTbFbYxj,0.0,0.0,1.0,0.0
20,BBCWorld,Mon Jan 15 07:30:20 +0000 2018,"RT @BBCSport: 2017 runner-up Venus Williams is out in the first round at the #AusOpen.

What a moment for Belinda Bencic. ?

? https://t.co…",0.0,0.0,1.0,0.0
21,BBCWorld,Mon Jan 15 06:24:58 +0000 2018,"RT @BBCBreaking: Internal ceiling collapses at Jakarta stock exchange building, with some reports of injuries https://t.co/yqFghL3nbA",-0.296,0.0,0.872,0.128
22,BBCWorld,Mon Jan 15 06:24:54 +0000 2018,RT @BBCBreaking: Images from central Jakarta after reported ceiling collapse in lobby of Indonesian stock exchange: https://t.co/47bbW9fFKU…,-0.4767,0.057,0.777,0.166
23,BBCWorld,Mon Jan 15 06:21:50 +0000 2018,Baghdad suicide double suicide attack kills many https://t.co/xxtWEg9DYw,-0.9485,0.0,0.204,0.796
24,BBCWorld,Mon Jan 15 06:18:49 +0000 2018,Jakarta stock exchange ceiling collapses https://t.co/JFv7P295uF,-0.296,0.0,0.694,0.306
25,BBCWorld,Mon Jan 15 04:45:24 +0000 2018,Aziz Ansari responds to assault allegation https://t.co/xNx3hPMii5,-0.5859,0.0,0.612,0.388
26,BBCWorld,Mon Jan 15 03:53:27 +0000 2018,RT @BBCIndia: Moshe Holtzberg: The Israeli boy who survived 2008 Mumbai attack https://t.co/6Vsu0jlWjt,0.0516,0.19,0.632,0.178
27,BBCWorld,Mon Jan 15 03:51:45 +0000 2018,RT @SallyBundockBBC: Apparently it’s #bluemonday2018 - “the most depressing day of the year”. I brought in cup cakes and banana bread for t…,-0.4391,0.0,0.874,0.126
28,BBCWorld,Mon Jan 15 02:54:22 +0000 2018,RT @BBCNewsAsia: North and South Korea begin talks on Pyongyang's plan to send art troupe to Winter Olympics: https://t.co/vYpyhcw1Q4,0.0,0.0,1.0,0.0
29,BBCWorld,Mon Jan 15 02:42:25 +0000 2018,North and South Korea discuss sending art troupe to Winter Olympics https://t.co/PRWrX5OPSx,0.0,0.0,1.0,0.0
30,BBCWorld,Mon Jan 15 02:22:36 +0000 2018,RT @BBCNewsAsia: The Japanese porn star who taught an entire Chinese generation about sex: https://t.co/wqvRtzka77,0.0,0.0,1.0,0.0
31,BBCWorld,Mon Jan 15 02:11:17 +0000 2018,RT @BBCNewsAsia: The alcohol ban on Sri Lankan women has been reinstated by its president: https://t.co/2CQoPadaQ7,-0.5574,0.0,0.806,0.194
32,BBCWorld,Mon Jan 15 01:56:42 +0000 2018,"RT @BBCNewsAsia: Oil tanker burning in East China Sea finally sinks. All 32 crew members confirmed dead, officials say: https://t.co/H3PWVJ…",-0.6486,0.0,0.815,0.185
33,BBCWorld,Mon Jan 15 01:52:15 +0000 2018,Ashley Judd: I was not frightened of Harvey Weinstein https://t.co/ndRNFCMJ6a,0.3412,0.231,0.769,0.0
34,BBCWorld,Mon Jan 15 01:46:24 +0000 2018,"Skies in Perth, Australia, turn dramatic orange after a bushfire: https://t.co/CjngV0xopn",0.0,0.0,1.0,0.0
35,BBCWorld,Mon Jan 15 01:42:25 +0000 2018,Donald Trump denies being a racist after 'shithole' row https://t.co/5DCN55NjoA,-0.7783,0.0,0.507,0.493
36,BBCWorld,Mon Jan 15 01:35:38 +0000 2018,Perth bushfire paints skies 'vivid orange' https://t.co/WpaopR0e2f,0.0,0.0,1.0,0.0
37,BBCWorld,Mon Jan 15 01:32:28 +0000 2018,Chile complains of World Bank unfair treatment https://t.co/jj083Qa8a9,-0.6908,0.0,0.513,0.487
38,BBCWorld,Mon Jan 15 00:57:08 +0000 2018,The missing - consequences of Trump's immigration crackdown https://t.co/ToQ0bSwlpW,-0.296,0.0,0.761,0.239
39,BBCWorld,Mon Jan 15 00:50:32 +0000 2018,Looking for my brother https://t.co/tOCTbFbYxj,0.0,0.0,1.0,0.0
40,BBCWorld,Mon Jan 15 00:43:56 +0000 2018,Chile's female prisoners pin their hopes on Pope's visit https://t.co/xXz4G2rJys,-0.128,0.199,0.567,0.234
41,BBCWorld,Mon Jan 15 00:30:49 +0000 2018,Japan's elaborate manhole covers https://t.co/73mTMw2uAm,0.0,0.0,1.0,0.0
42,BBCWorld,Mon Jan 15 00:20:47 +0000 2018,Moshe Holtzberg: The Israeli boy who survived 2008 Mumbai attack https://t.co/LHO3VotYrH,0.0516,0.214,0.584,0.201
43,BBCWorld,Mon Jan 15 00:10:59 +0000 2018,Sora Aoi: Japan's porn star who taught a Chinese generation about sex https://t.co/1SEteyUaGe,0.0,0.0,1.0,0.0
44,BBCWorld,Sun Jan 14 22:27:12 +0000 2018,"Police use tear gas on protesters in Tunisia, reports say https://t.co/qk35oecFhE",-0.2263,0.0,0.84,0.16
45,BBCWorld,Sun Jan 14 22:00:46 +0000 2018,"California mudslide toll rises to 20, as search continues https://t.co/BXMtfFizp9",0.0,0.0,1.0,0.0
46,BBCWorld,Sun Jan 14 21:45:13 +0000 2018,Jerusalem embassy: Abbas says Trump plan 'slap of the century' https://t.co/wbKLfQeB7c,0.1531,0.138,0.862,0.0
47,BBCWorld,Sun Jan 14 18:48:15 +0000 2018,Hawaii told to fix its alert system after false missile alarm https://t.co/roxDjW56Rf,-0.0516,0.151,0.685,0.164
48,BBCWorld,Sun Jan 14 18:34:54 +0000 2018,How to survive a missile attack: What's the official advice? https://t.co/5Bb0JNLyp5,-0.4767,0.0,0.744,0.256
49,BBCWorld,Sun Jan 14 18:24:36 +0000 2018,Qatari royal says he is 'being held against his will' in UAE https://t.co/PDR7RazNDp,0.0,0.0,1.0,0.0
50,BBCWorld,Sun Jan 14 16:28:30 +0000 2018,"RT @BBCSteveR: Tonight Russian TV news had reports on:
Putin's election campaign
Putin visits tram factory
Putin visits monastery
Putin com…",0.0,0.0,1.0,0.0
51,BBCWorld,Sun Jan 14 16:12:13 +0000 2018,Saudi female football fan: 'We wanted to enter the stadiums and we did' https://t.co/pdrbl4wBAr,0.3182,0.15,0.85,0.0
52,BBCWorld,Sun Jan 14 15:55:03 +0000 2018,"In a post-Harvey Weinstein and #MeToo world, most people are well aware sexual harassment occurs in the workplace.… https://t.co/ouQlm4LL2R",-0.2815,0.108,0.732,0.16
53,BBCWorld,Sun Jan 14 15:40:20 +0000 2018,Sri Lanka leader rejects move to allow women to buy alcohol https://t.co/FhG3PaPtGx,-0.3182,0.126,0.662,0.212
54,BBCWorld,Sun Jan 14 14:42:19 +0000 2018,Peru: Earthquake leaves two dead and dozens injured https://t.co/Xj6Tr2Dyg0,-0.7906,0.0,0.5,0.5
55,BBCWorld,Sun Jan 14 14:36:46 +0000 2018,RT @BBCBreaking: A 7.1 magnitude quake off the south-west coast of Peru kills two people https://t.co/oLae31f3Qh,-0.5423,0.0,0.8,0.2
56,BBCWorld,Sun Jan 14 12:40:43 +0000 2018,Ellen Johnson Sirleaf: Liberia's president expelled from her party https://t.co/tpkcS487eV,0.1779,0.213,0.63,0.157
57,BBCWorld,Sun Jan 14 12:18:36 +0000 2018,How flowering plants conquered the world https://t.co/JGsbrl2qqz,0.0,0.0,1.0,0.0
58,BBCWorld,Sun Jan 14 11:58:28 +0000 2018,RT @marklowen: Bittersweet mood in #Tunisia today: pride in transition to (albeit imperfect) parliamentary democracy but frustration that o…,-0.5574,0.074,0.696,0.23
59,BBCWorld,Sun Jan 14 11:45:35 +0000 2018,"RT @marklowen: Crowds in #Tunis marking seventh anniversary of #Tunisia's revolution. Some pro-government protests, some anti-government, c…",-0.2263,0.0,0.894,0.106
60,BBCWorld,Sun Jan 14 11:26:31 +0000 2018,Turkey plane: Panic as jet skids off runway at Trabzon https://t.co/bmvMLqVj5W,-0.5106,0.0,0.752,0.248
61,BBCWorld,Sun Jan 14 10:57:37 +0000 2018,Plane skids off runway at Trabzon Airport in Turkey https://t.co/xaDDlF8uzf,0.0,0.0,1.0,0.0
62,BBCWorld,Sun Jan 14 10:48:47 +0000 2018,Mario Testino and Bruce Weber accused of sexual exploitation https://t.co/UYvB8LKEUP,-0.296,0.0,0.804,0.196
63,BBCWorld,Sun Jan 14 10:09:37 +0000 2018,"Hawaii missile false alarm triggers shock, blame and apologies https://t.co/0GMcCPaScf",-0.7506,0.0,0.486,0.514
64,BBCWorld,Sun Jan 14 09:33:28 +0000 2018,"RT @BBCBreaking: Burning oil tanker sinks more than a week after collision with cargo ship off China, with 32 lives lost, reports say https…",-0.5859,0.0,0.814,0.186
65,BBCWorld,Sun Jan 14 09:11:21 +0000 2018,'I'm a Muslim that voted for Donald Trump' https://t.co/oHCFqTWxYj,0.0,0.0,1.0,0.0
66,BBCWorld,Sun Jan 14 09:05:13 +0000 2018,Panmunjom: Truce town in the Koreas https://t.co/SgtXna6UdS,0.0,0.0,1.0,0.0
67,BBCWorld,Sun Jan 14 08:11:59 +0000 2018,Papua New Guinea volcano: Islanders flee worsening eruption https://t.co/tP9WOtTeM0,-0.4588,0.0,0.727,0.273
68,BBCWorld,Sun Jan 14 07:45:24 +0000 2018,Portugal fire kills eight at leisure centre https://t.co/aRFawOxUTo,-0.7096,0.0,0.504,0.496
69,BBCWorld,Sun Jan 14 07:37:45 +0000 2018,Hawaii missile alert: False alarm warning broadcast https://t.co/LgT1aaTbnU,-0.3818,0.183,0.417,0.4
70,BBCWorld,Sun Jan 14 06:15:54 +0000 2018,French salmonella baby milk scandal 'affects 83 countries' https://t.co/4S1isl6n5b,-0.4404,0.0,0.734,0.266
71,BBCWorld,Sun Jan 14 05:14:35 +0000 2018,Tunisia protests: Government announce reforms after unrest https://t.co/rAV0nihwzi,-0.2263,0.0,0.787,0.213
72,BBCWorld,Sun Jan 14 01:49:00 +0000 2018,Cult Mexican horror radio show The Hairy Hand ends https://t.co/QRMNnhHuXO,-0.128,0.215,0.537,0.248
73,BBCWorld,Sun Jan 14 01:02:54 +0000 2018,Dealing with debt: The mini-bankers learning how to save https://t.co/jbQJ9mrmZW,0.1779,0.234,0.584,0.182
74,BBCWorld,Sun Jan 14 00:50:11 +0000 2018,Steve Bannon: The Trump-whisperer's rapid fall from grace https://t.co/gsH0fetTeV,0.4215,0.259,0.741,0.0
75,BBCWorld,Sun Jan 14 00:46:52 +0000 2018,The hotel where you can live like a Farc rebel https://t.co/NqN4QoRsGI,0.2263,0.207,0.661,0.132
76,BBCWorld,Sun Jan 14 00:46:52 +0000 2018,Ethiopia's 800-year-old rock churches https://t.co/KWVxFS75Ij,0.0,0.0,1.0,0.0
77,BBCWorld,Sun Jan 14 00:43:33 +0000 2018,Recording the lives of those waiting for clean water https://t.co/WeKkWPRsgr,0.4019,0.231,0.769,0.0
78,BBCWorld,Sun Jan 14 00:40:20 +0000 2018,Why Pakistan won't share intelligence with the US https://t.co/D0fvHFiX0V,-0.5334,0.0,0.612,0.388
79,BBCWorld,Sun Jan 14 00:37:17 +0000 2018,The UK millionaire with Bollywood dreams https://t.co/PcBdabuXb4,0.4019,0.31,0.69,0.0
80,BBCWorld,Sun Jan 14 00:37:15 +0000 2018,France's celebrity pushback against 'MeToo' https://t.co/9sLYw0D9tQ,0.0,0.0,1.0,0.0
81,BBCWorld,Sun Jan 14 00:30:40 +0000 2018,Chelsea Manning: Ex-army leaker to run for US senate https://t.co/Uj4WcgEHKs,0.0,0.0,1.0,0.0
82,BBCWorld,Sun Jan 14 00:11:57 +0000 2018,Colombia's ELN rebels kidnap oil worker https://t.co/MeNhZenT86,-0.2023,0.0,0.769,0.231
83,BBCWorld,Sat Jan 13 23:13:27 +0000 2018,Recording of Hawaii ballistic missile waning https://t.co/KdMwHVFwHc,0.0,0.0,1.0,0.0
84,BBCWorld,Sat Jan 13 22:54:00 +0000 2018,President Macron: Baguette me not? https://t.co/DWuYziC9Ad,0.0,0.0,1.0,0.0
85,BBCWorld,Sat Jan 13 22:46:51 +0000 2018,Mark Wahlberg donates reshoot fee to Time's Up defence fund https://t.co/syCTUVRSbw,0.1027,0.123,0.877,0.0
86,BBCWorld,Sat Jan 13 22:14:00 +0000 2018,"A woman's choice - sexual favours or lose her home?

A BBC News investigation reveals that sexual harassment in US… https://t.co/N9nz8TPF2d",-0.5267,0.117,0.625,0.258
87,BBCWorld,Sat Jan 13 19:23:39 +0000 2018,Baby Panda Yuan Meng makes debut in France https://t.co/WSBZuFkleO,0.0,0.0,1.0,0.0
88,BBCWorld,Sat Jan 13 18:59:50 +0000 2018,H&amp;M stores in South Africa trashed over 'racist' hoodie https://t.co/RT5JUoBUkN,0.0,0.0,1.0,0.0
89,BBCWorld,Sat Jan 13 18:45:45 +0000 2018,Hawaii sends out missile alert by mistake https://t.co/7PKwR2mQP0,-0.0516,0.208,0.566,0.226
90,BBCWorld,Sat Jan 13 17:40:21 +0000 2018,Donald Trump in excellent health - White House doctor https://t.co/pQJGI3netZ,0.5719,0.316,0.684,0.0
91,BBCWorld,Sat Jan 13 16:42:26 +0000 2018,ICYMI: Ex-crime boss caught out by ink https://t.co/bCwDdrO9qq,0.0,0.0,1.0,0.0
92,BBCWorld,Sat Jan 13 16:32:05 +0000 2018,How Australia's extreme heat might be here to stay https://t.co/hXWc0gC3AM,0.0,0.0,1.0,0.0
93,BBCWorld,Sat Jan 13 16:05:58 +0000 2018,France's first panda cub makes its public debut https://t.co/I8HQhjTN0D,0.0,0.0,1.0,0.0
94,BBCWorld,Sat Jan 13 14:58:08 +0000 2018,Syrian war: Reports of chlorine gas attack on rebel-held Eastern Ghouta https://t.co/VcguQuu5XG,-0.7906,0.0,0.588,0.412
95,BBCWorld,Sat Jan 13 14:20:01 +0000 2018,Czech election: Milos Zeman leads in first round https://t.co/tfLr52KHxl,0.0,0.0,1.0,0.0
96,BBCWorld,Sat Jan 13 13:27:55 +0000 2018,Russian club criticised for 'racist' tweet https://t.co/KQQ7hFltbd,-0.4215,0.0,0.682,0.318
97,BBCWorld,Sat Jan 13 12:46:37 +0000 2018,Liam Neeson 'on the fence' about Dustin Hoffman allegations https://t.co/oLNEweL24n,0.0,0.0,1.0,0.0
98,BBCWorld,Sat Jan 13 12:46:34 +0000 2018,Russian doping: Whistleblower Grigory Rodchenkov will testify but life under 'serious threat' https://t.co/9phTitBaWb,-0.7227,0.0,0.645,0.355
99,BBCWorld,Sat Jan 13 11:54:19 +0000 2018,South Africa's ANC leader Ramaphosa urges unity as Zuma booed https://t.co/h55cmh0k19,0.0,0.0,1.0,0.0
100,CBSNews,Mon Jan 15 07:48:05 +0000 2018,"Sen. Joe Manchin: No senator would make up ""atrocious"" remark attributed to Trump https://t.co/aBFxX3lYGh https://t.co/AzHm7fn82D",-0.296,0.0,0.864,0.136
101,CBSNews,Mon Jan 15 07:42:12 +0000 2018,New details in police chase of Greyhound bus with 40 people on board https://t.co/46tddmE7ox https://t.co/ck0xxnAzwX,0.0,0.0,1.0,0.0
102,CBSNews,Mon Jan 15 07:32:05 +0000 2018,"Jakarta Stock Exchange mezzanine collapse causes chaos, injures dozens https://t.co/p13XPSGPrS https://t.co/HA5jBSafcI",-0.7845,0.0,0.566,0.434
103,CBSNews,Mon Jan 15 07:18:09 +0000 2018,"Sen. Tom Cotton says Trump's words, sentiments on immigration were misrepresented https://t.co/b47Rfh3Wd5 https://t.co/9m7JomAnUx",0.0,0.0,1.0,0.0
104,CBSNews,Mon Jan 15 07:03:08 +0000 2018,2 children among the dead in triple homicide in Nashville https://t.co/shk17wnLaQ https://t.co/QAJB0L6SY3,-0.6486,0.0,0.699,0.301
105,CBSNews,Mon Jan 15 06:54:05 +0000 2018,Double suicide bombing in Baghdad takes deadly toll https://t.co/O6VAc4XeXn https://t.co/aw9kbdcKxY,-0.6705,0.0,0.667,0.333
106,CBSNews,Mon Jan 15 06:48:05 +0000 2018,"Speeding car goes airborne, crashes into second floor of California building https://t.co/KTVmW1PARt https://t.co/1nRqtgbw53",0.0,0.0,1.0,0.0
107,CBSNews,Mon Jan 15 06:33:07 +0000 2018,"Faith Salie on when POTUS uses ""$#!?hole"" language https://t.co/3QBUHSoHXm https://t.co/VblxRHE0a0",0.4753,0.256,0.744,0.0
108,CBSNews,Mon Jan 15 06:18:06 +0000 2018,"Nation Tracker: Americans weigh in on Trump immigration remarks, first year in office https://t.co/ZTHjPnue5C https://t.co/yrPtXD9qEP",0.0,0.0,1.0,0.0
109,CBSNews,Mon Jan 15 06:03:05 +0000 2018,"For chef Fabio Trabocchi, cooking is a family affair https://t.co/zlQCAs8bkc https://t.co/bdCmuji9JI",0.0,0.0,1.0,0.0
110,CBSNews,Mon Jan 15 05:48:05 +0000 2018,"Married couple killed as Amtrak train hits SUV in N.C., authorities say https://t.co/FPMz3jUYLb https://t.co/RCOkQq9Kp6",-0.6705,0.0,0.743,0.257
111,CBSNews,Mon Jan 15 05:36:38 +0000 2018,Motorist strikes officer before speeding off in NYC's Times Square https://t.co/M9jFmaWNbh https://t.co/i0a0x7lRcY,-0.3612,0.0,0.815,0.185
112,CBSNews,Mon Jan 15 05:28:06 +0000 2018,Woman in Michigan faces charges in death of 2nd infant https://t.co/M50AmEf0Jc https://t.co/EwIwEjoQOV,-0.7184,0.0,0.625,0.375
113,CBSNews,Mon Jan 15 05:18:08 +0000 2018,"Transcript: Sen. Tom Cotton on ""Face the Nation,"" Jan. 14, 2018 https://t.co/Ozz4tUiALF https://t.co/fZLC2zR0ZH",0.0,0.0,1.0,0.0
114,CBSNews,Mon Jan 15 05:03:07 +0000 2018,"Vikings stun Saints, 29-24, with 61-yard touchdown on last play https://t.co/5vhZOLQXUl https://t.co/ZjziY4DxkU",0.34,0.179,0.821,0.0
115,CBSNews,Mon Jan 15 04:48:04 +0000 2018,The American scientist who's seen North Korea's nuclear secrets https://t.co/KXwv4poO3M https://t.co/PqV6O5qcFf,0.0,0.0,1.0,0.0
116,CBSNews,Mon Jan 15 04:33:07 +0000 2018,"Media outlets around the world struggle to translate Trump's ""sh*thole"" comments https://t.co/nIToi8d89Z https://t.co/xtS37YafCQ",-0.3182,0.0,0.839,0.161
117,CBSNews,Mon Jan 15 04:18:12 +0000 2018,"Plane skids off runway in Turkey, comes to a rest on cliff https://t.co/11BnbBYs1H https://t.co/ZAWvCE8BCd",0.0,0.0,1.0,0.0
118,CBSNews,Mon Jan 15 04:03:04 +0000 2018,Reflections from Afghanistan https://t.co/awlHj6pXwm https://t.co/jr3QQ8iq53,0.0,0.0,1.0,0.0
119,CBSNews,Mon Jan 15 03:48:06 +0000 2018,Drawing the lines on gerrymandering https://t.co/aFi2sNK8Cc https://t.co/b1FU08Yshc,0.0,0.0,1.0,0.0
120,CBSNews,Mon Jan 15 07:48:05 +0000 2018,"Sen. Joe Manchin: No senator would make up ""atrocious"" remark attributed to Trump https://t.co/aBFxX3lYGh https://t.co/AzHm7fn82D",-0.296,0.0,0.864,0.136
121,CBSNews,Mon Jan 15 07:42:12 +0000 2018,New details in police chase of Greyhound bus with 40 people on board https://t.co/46tddmE7ox https://t.co/ck0xxnAzwX,0.0,0.0,1.0,0.0
122,CBSNews,Mon Jan 15 07:32:05 +0000 2018,"Jakarta Stock Exchange mezzanine collapse causes chaos, injures dozens https://t.co/p13XPSGPrS https://t.co/HA5jBSafcI",-0.7845,0.0,0.566,0.434
123,CBSNews,Mon Jan 15 07:18:09 +0000 2018,"Sen. Tom Cotton says Trump's words, sentiments on immigration were misrepresented https://t.co/b47Rfh3Wd5 https://t.co/9m7JomAnUx",0.0,0.0,1.0,0.0
124,CBSNews,Mon Jan 15 07:03:08 +0000 2018,2 children among the dead in triple homicide in Nashville https://t.co/shk17wnLaQ https://t.co/QAJB0L6SY3,-0.6486,0.0,0.699,0.301
125,CBSNews,Mon Jan 15 06:54:05 +0000 2018,Double suicide bombing in Baghdad takes deadly toll https://t.co/O6VAc4XeXn https://t.co/aw9kbdcKxY,-0.6705,0.0,0.667,0.333
126,CBSNews,Mon Jan 15 06:48:05 +0000 2018,"Speeding car goes airborne, crashes into second floor of California building https://t.co/KTVmW1PARt https://t.co/1nRqtgbw53",0.0,0.0,1.0,0.0
127,CBSNews,Mon Jan 15 06:33:07 +0000 2018,"Faith Salie on when POTUS uses ""$#!?hole"" language https://t.co/3QBUHSoHXm https://t.co/VblxRHE0a0",0.4753,0.256,0.744,0.0
128,CBSNews,Mon Jan 15 06:18:06 +0000 2018,"Nation Tracker: Americans weigh in on Trump immigration remarks, first year in office https://t.co/ZTHjPnue5C https://t.co/yrPtXD9qEP",0.0,0.0,1.0,0.0
129,CBSNews,Mon Jan 15 06:03:05 +0000 2018,"For chef Fabio Trabocchi, cooking is a family affair https://t.co/zlQCAs8bkc https://t.co/bdCmuji9JI",0.0,0.0,1.0,0.0
130,CBSNews,Mon Jan 15 05:48:05 +0000 2018,"Married couple killed as Amtrak train hits SUV in N.C., authorities say https://t.co/FPMz3jUYLb https://t.co/RCOkQq9Kp6",-0.6705,0.0,0.743,0.257
131,CBSNews,Mon Jan 15 05:36:38 +0000 2018,Motorist strikes officer before speeding off in NYC's Times Square https://t.co/M9jFmaWNbh https://t.co/i0a0x7lRcY,-0.3612,0.0,0.815,0.185
132,CBSNews,Mon Jan 15 05:28:06 +0000 2018,Woman in Michigan faces charges in death of 2nd infant https://t.co/M50AmEf0Jc https://t.co/EwIwEjoQOV,-0.7184,0.0,0.625,0.375
133,CBSNews,Mon Jan 15 05:18:08 +0000 2018,"Transcript: Sen. Tom Cotton on ""Face the Nation,"" Jan. 14, 2018 https://t.co/Ozz4tUiALF https://t.co/fZLC2zR0ZH",0.0,0.0,1.0,0.0
134,CBSNews,Mon Jan 15 05:03:07 +0000 2018,"Vikings stun Saints, 29-24, with 61-yard touchdown on last play https://t.co/5vhZOLQXUl https://t.co/ZjziY4DxkU",0.34,0.179,0.821,0.0
135,CBSNews,Mon Jan 15 04:48:04 +0000 2018,The American scientist who's seen North Korea's nuclear secrets https://t.co/KXwv4poO3M https://t.co/PqV6O5qcFf,0.0,0.0,1.0,0.0
136,CBSNews,Mon Jan 15 04:33:07 +0000 2018,"Media outlets around the world struggle to translate Trump's ""sh*thole"" comments https://t.co/nIToi8d89Z https://t.co/xtS37YafCQ",-0.3182,0.0,0.839,0.161
137,CBSNews,Mon Jan 15 04:18:12 +0000 2018,"Plane skids off runway in Turkey, comes to a rest on cliff https://t.co/11BnbBYs1H https://t.co/ZAWvCE8BCd",0.0,0.0,1.0,0.0
138,CBSNews,Mon Jan 15 04:03:04 +0000 2018,Reflections from Afghanistan https://t.co/awlHj6pXwm https://t.co/jr3QQ8iq53,0.0,0.0,1.0,0.0
